iter	Passed	Remaining
0	67	67332
1	70	35045
2	72	24194
3	74	18591
4	77	15326
5	79	13095
6	81	11529
7	83	10346
8	85	9457
9	87	8703
10	89	8044
11	92	7593
12	95	7216
13	97	6887
14	99	6564
15	102	6292
16	104	6042
17	106	5833
18	109	5633
19	111	5469
20	114	5317
21	116	5187
22	118	5047
23	121	4935
24	123	4819
25	125	4690
26	127	4582
27	129	4505
28	132	4424
29	135	4368
30	137	4289
31	139	4216
32	141	4143
33	143	4075
34	145	4008
35	148	3965
36	149	3903
37	151	3843
38	154	3801
39	156	3760
40	158	3714
41	161	3680
42	163	3641
43	166	3609
44	168	3566
45	170	3538
46	172	3505
47	174	3468
48	176	3430
49	178	3393
50	180	3366
51	183	3342
52	185	3306
53	187	3289
54	190	3267
55	192	3247
56	194	3217
57	196	3194
58	199	3177
59	201	3153
60	203	3136
61	205	3114
62	207	3084
63	209	3060
64	211	3042
65	213	3022
66	215	2999
67	217	2980
68	219	2965
69	221	2949
70	224	2932
71	225	2912
72	227	2891
73	229	2872774	231	2858775	233	2835776	235	2824777	237	2807778	239	2787779	241	2780880	243	2762881	244	2733882	246	2722883	248	2711884	251	2707885	253	2689886	255	2684887	257	2669888	259	2654889	260	2634990	262	2623991	265	2618992	267	2605993	269	2594994	271	2587995	273	2578996	276	2576997	279	2575998	281	2565999	284	2558
100	285	25431101	287	25331102	290	25271103	291	25091104	294	2511
105	297	2505
106	299	2500
107	302	2496
108	305	2495
109	308	2492
110	310	2490
111	313	2486
112	316	2483
113	318	2476
114	321	2473
115	323	2466
116	325	2457
117	327	2450
118	329	2437
119	331	2428
120	332	2418
121	335	2411
122	337	2406
123	340	2402
124	342	2394
125	344	2387
126	345	2374
127	348	2371
128	349	2360
129	351	2351
130	353	2343
131	355	2339
132	358	2337
133	360	2332
134	362	2325
135	365	2319
136	367	2314
137	369	2305
138	371	2300
139	373	2294
140	375	2288
141	378	2284
142	380	2279
143	383	2280
144	385	2273
145	387	2266
146	389	2261
147	391	2252
148	392	2244
149	395	2240
150	397	2233
151	399	2229
152	402	2225
153	403	2216
154	405	2211
155	407	2203
156	408	2196
157	411	2191
158	413	2188
159	415	2181
160	418	2178
161	419	2171
162	421	2166
163	424	2164
164	426	2159
165	429	2159
166	432	2155
167	434	2152
168	436	2146
169	439	2144
170	441	2141
171	444	2138
172	446	2133
173	448	2128
174	450	2122
175	452	2116
176	454	2113
177	457	2111
178	459	2108
179	462	2106
180	464	2099
181	466	2096
182	469	2095
183	471	2092
184	474	2090
185	476	2085
186	478	2078
187	479	2072
188	481	2064
189	483	2059
190	484	2052
191	486	2048
192	488	2043
193	490	2038
194	493	2036
195	496	2034
196	498	2031
197	499	2023
198	501	2017
199	503	2014
200	505	2009
201	507	2005
202	509	2000
203	512	1997
204	513	1991
205	515	1988
206	518	1984
207	520	1980
208	521	1975
209	523	1969
210	526	1967
211	528	1965
212	530	1960
213	532	1955
214	533	1948
215	536	1945
216	538	1942
217	540	1938
218	542	1934
219	544	1931
220	547	1928
221	549	1924
222	551	1922
223	553	1917
224	555	1912
225	556	1905
226	558	1902
227	560	1897
228	563	1896
229	565	1893
230	567	1890
231	569	1885
232	571	1881
233	574	1879
234	575	1874
235	578	1871
236	580	1868
237	582	1863
238	584	1859
239	585	1853
240	587	1849
241	589	1846
242	591	1843
243	593	1839
244	595	1835
245	597	1832
246	599	1827
247	601	1823
248	603	1819
249	605	1815
250	607	1811
251	609	1809
252	611	1806
253	614	1804
254	616	1799
255	617	1796
256	619	1792
257	622	1790
258	624	1787
259	627	1785
260	629	1783
261	632	1781
262	634	1778
263	636	1774
264	638	1771
265	641	1769
266	643	1766
267	645	1762
268	647	1759
269	649	1756
270	651	1752
271	653	1749
272	655	1745
273	657	1743
274	659	1738
275	661	1736
276	663	1731
277	665	1728
278	667	1724
279	669	1722
280	671	1718
281	673	1715
282	676	1712
283	678	1710
284	680	1706
285	681	1702
286	683	1698
287	685	1694
288	687	1691
289	689	1687
290	691	1684
291	693	1680
292	695	1678
293	698	1676
294	700	1673
295	702	1670
296	704	1666
297	706	1664
298	708	1660
299	710	1658
300	713	1656
301	715	1654
302	717	1650
303	719	1648
304	722	1645
305	724	1642
306	727	1641
307	728	1637
308	731	1635
309	733	1632
310	735	1628
311	737	1626
312	739	1623
313	741	1619
314	743	1616
315	745	1613
316	747	1610
317	749	1608
318	751	1605
319	753	1602
320	755	1598
321	758	1596
322	760	1594
323	762	1591
324	765	1589
325	768	1588
326	770	1585
327	772	1582
328	774	1579
329	776	1576
330	778	1573
331	780	1570
332	783	1568
333	785	1566
334	786	1562
335	789	1559
336	790	1555
337	793	1553
338	795	1550
339	797	1548
340	799	1545
341	801	1542
342	803	1539
343	805	1536
344	808	1534
345	809	1530
346	811	1527
347	813	1523
348	815	1521
349	818	1519
350	820	1516
351	822	1513
352	823	1510
353	825	1506
354	826	1502
355	828	1498
356	830	1495
357	831	1491
358	833	1488
359	835	1485
360	837	1482
361	839	1480
362	841	1477
363	844	1475
364	846	1472
365	848	1469
366	850	1466
367	852	1463
368	854	1460
369	856	1457
370	858	1455
371	861	1453
372	863	1451
373	865	1448
374	867	1446
375	869	1443
376	871	1439
377	872	1436
378	874	1433
379	876	1430
380	878	1427
381	880	1424
382	882	1421
383	884	1419
384	887	1418
385	889	1415
386	892	1413
387	893	1410
388	896	1407
389	898	1405
390	901	1403
391	902	1400
392	904	1397
393	907	1396
394	909	1393
395	911	1390
396	914	1388
397	915	1384
398	917	1382
399	919	1379
400	921	1376
401	923	1373
402	925	1370
403	927	1367
404	929	1365
405	931	1363
406	934	1361
407	936	1359
408	938	1356
409	940	1354
410	943	1351
411	945	1348
412	947	1345
413	948	1342
414	950	1339
415	952	1337
416	954	1334
417	956	1332
418	959	1330
419	961	1327
420	964	1326
421	966	1324
422	967	1320
423	969	1317
424	972	1315
425	974	1312
426	976	1310
427	978	1308
428	980	1305
429	982	1302
430	984	1299
431	985	1295
432	989	1295
433	991	1293
434	993	1290
435	996	1288
436	998	1286
437	1001	12844438	1003	12824439	1005	12794440	1007	12764441	1009	1274
442	1012	1272
443	1015	1271
444	1017	1268
445	1019	1266
446	1022	1264
447	1025	1263
448	1027	1260
449	1029	1258
450	1031	1255
451	1033	1252
452	1034	1249
453	1036	1246
454	1038	1243
455	1040	1241
456	1042	1239
457	1045	1236
458	1047	1235
459	1049	1232
460	1051	1229
461	1053	1227
462	1056	1225
463	1058	1222
464	1060	1220
465	1063	1218
466	1065	1216
467	1068	1214
468	1069	1211
469	1072	1209
470	1074	1207
471	1076	1204
472	1078	1201
473	1080	1198
474	1082	1196
475	1084	1193
476	1086	1191
477	1089	1189
478	1090	1186
479	1093	1184
480	1095	1181
481	1096	1178
482	1098	1176
483	1100	1173
484	1103	1171
485	1105	1168
486	1107	1166
487	1109	1164
488	1111	1161
489	1114	1159
490	1116	1157
